,Pars,Reward2,Reward3,RPE,TvS,Model_accuracy,Human_accuracy,p,b
0,3.0,1.0,1.0,0.0,0.0,0.9470819769505026,1.0,0.0,0.9
1,3.0,1.0,1.0,0.0,0.0,0.9470819769505024,0.0,0.0,0.9
2,3.0,1.0,1.0,0.25,1.0,0.9470819769505026,1.0,0.0,0.9
3,3.0,1.0,0.0,0.0,1.0,0.9470819769505026,0.0,0.0,0.9
4,3.0,1.0,1.0,0.0,0.0,0.9470819769505026,0.0,0.0,0.9
5,3.0,0.0,0.0,0.0,1.0,0.9470819769505024,0.0,0.0,0.9
6,3.0,0.0,0.0,0.0,1.0,0.9470819769505026,1.0,0.0,0.9
7,3.0,1.0,1.0,0.0,0.0,0.9470819769505026,1.0,0.0,0.9
8,3.0,0.0,0.0,0.0,1.0,0.9470819769505026,1.0,0.0,0.9
9,3.0,1.0,1.0,0.0,0.0,0.9470819769505024,1.0,0.0,0.9
10,3.0,0.0,1.0,1.0,1.0,0.9470819769505024,1.0,0.0,0.9
11,3.0,0.0,0.0,0.0,1.0,0.9470819769505026,0.0,0.0,0.9
12,3.0,1.0,1.0,0.0,1.0,0.9470819769505026,1.0,0.0,0.9
13,3.0,1.0,1.0,0.0,1.0,0.9470819769505026,1.0,0.0,0.9
14,3.0,1.0,1.0,0.0,1.0,0.9470819769505024,1.0,0.0,0.9
15,3.0,0.0,0.0,0.0,1.0,0.9470819769505026,1.0,0.0,0.9
16,3.0,1.0,1.0,1.0,1.0,0.9470819769505026,1.0,0.0,0.9
17,3.0,1.0,1.0,1.0,1.0,0.9470819769505026,1.0,0.0,0.9
18,3.0,1.0,1.0,0.0,1.0,0.9470819769505024,1.0,0.0,0.9
19,3.0,1.0,1.0,0.0,1.0,0.9470819769505024,1.0,0.0,0.9
20,3.0,0.0,1.0,0.0,0.0,0.9470819769505026,0.0,0.0,0.9
21,3.0,1.0,1.0,0.0,0.0,0.9470819769505026,0.0,0.0,0.9
22,3.0,0.0,0.0,0.0,1.0,0.9470819769505026,1.0,0.0,0.9
23,3.0,1.0,1.0,0.0,0.0,0.9470819769505026,1.0,0.0,0.9
24,3.0,1.0,1.0,1.0,1.0,0.9470819769505026,1.0,0.0,0.9
25,3.0,0.0,1.0,1.0,1.0,0.9470819769505024,1.0,0.0,0.9
26,3.0,1.0,1.0,0.75,1.0,0.9470819769505026,1.0,0.0,0.9
27,3.0,0.0,0.0,0.0,1.0,0.9470819769505024,1.0,0.0,0.9
28,3.0,1.0,1.0,1.0,1.0,0.9470819769505024,1.0,0.0,0.9
29,3.0,1.0,1.0,0.25,1.0,0.9470819769505026,1.0,0.0,0.9
30,3.0,1.0,0.0,0.0,1.0,0.9470819769505026,0.0,0.0,0.9
31,3.0,1.0,1.0,0.0,0.0,0.9470819769505026,1.0,0.0,0.9
32,3.0,1.0,1.0,0.0,1.0,0.9470819769505026,1.0,0.0,0.9
33,3.0,0.0,0.0,0.0,1.0,0.9470819769505026,1.0,0.0,0.9
34,3.0,1.0,1.0,0.0,0.0,0.9470819769505026,1.0,0.0,0.9
